eventID,facilityID,unitID,emitterID,mcRun,timestamp,command,state,event,duration,nextTS,gcKey,flowID,tsKey
0,,,,4,0,SIM-START,,,,,,,
1,test_fac,Well_1,,4,0,STATE_TRANSITION,RigPreparation,START,118800,118800,,,
2,test_fac,Well_2,,4,0,STATE_TRANSITION,RigPreparation,START,78300,78300,,,
3,test_fac,Well_3,,4,0,STATE_TRANSITION,RigPreparation,START,77399,77399,,,
4,test_fac,Well_4,,4,0,STATE_TRANSITION,RigPreparation,START,47699,47699,,,
5,test_fac,Well_5,,4,0,STATE_TRANSITION,RigPreparation,START,592200,592200,,,
6,test_fac,Well_6,,4,0,STATE_TRANSITION,RigPreparation,START,95400,95400,,,
7,test_fac,Well_7,,4,0,STATE_TRANSITION,RigPreparation,START,34199,34199,,,
8,test_fac,Well_8,,4,0,STATE_TRANSITION,RigPreparation,START,37800,37800,,,
9,test_fac,Well_9,,4,0,STATE_TRANSITION,RigPreparation,START,95400,95400,,,
10,test_fac,Well_10,,4,0,STATE_TRANSITION,RigPreparation,START,37800,37800,,,
11,test_fac,Well_11,,4,0,STATE_TRANSITION,RigPreparation,START,30600,30600,,,
12,test_fac,Well_12,,4,0,STATE_TRANSITION,RigPreparation,START,59400,59400,,,
13,test_fac,Well_13,,4,0,STATE_TRANSITION,RigPreparation,START,30600,30600,,,
14,test_fac,Well_14,,4,0,STATE_TRANSITION,RigPreparation,START,95400,95400,,,
15,test_fac,Well_11,,4,30600,STATE_TRANSITION,RigPreparation,STOP,0,30600,,,
16,test_fac,Well_11,,4,30600,STATE_TRANSITION,VerticalDrilling,START,42299,72899,,,
17,test_fac,Well_13,,4,30600,STATE_TRANSITION,RigPreparation,STOP,0,30600,,,
18,test_fac,Well_13,,4,30600,STATE_TRANSITION,VerticalDrilling,START,44100,74700,,,
19,test_fac,Well_7,,4,34199,STATE_TRANSITION,RigPreparation,STOP,0,34199,,,
20,test_fac,Well_7,,4,34199,STATE_TRANSITION,VerticalDrilling,START,46800,80999,,,
21,test_fac,Well_8,,4,37800,STATE_TRANSITION,RigPreparation,STOP,0,37800,,,
22,test_fac,Well_8,,4,37800,STATE_TRANSITION,VerticalDrilling,START,108000,145800,,,
23,test_fac,Well_10,,4,37800,STATE_TRANSITION,RigPreparation,STOP,0,37800,,,
24,test_fac,Well_10,,4,37800,STATE_TRANSITION,VerticalDrilling,START,59400,97200,,,
25,test_fac,Well_4,,4,47699,STATE_TRANSITION,RigPreparation,STOP,0,47699,,,
26,test_fac,Well_4,,4,47699,STATE_TRANSITION,VerticalDrilling,START,46800,94499,,,
27,test_fac,Well_12,,4,59400,STATE_TRANSITION,RigPreparation,STOP,0,59400,,,
28,test_fac,Well_12,,4,59400,STATE_TRANSITION,VerticalDrilling,START,21600,81000,,,
29,test_fac,Well_11,,4,72899,STATE_TRANSITION,VerticalDrilling,STOP,0,72899,,,
