modelID,implCategory,implClass,modelReadableName,modelCategory,modelEmissionCategory
Compressor.json,MajorEquipment,MEETCompressor,Compressor,,
Compressor.json,Emitter,EmpiricalFlowImmediateProduction,Blowdown Event,TRANSIENT EVENT,VENTED
Compressor.json,Emitter,SpecificLeaksProduction,Compressor Blowdown Vent Leak,COMPONENT LEAK,FUGITIVE
Compressor.json,Emitter,LeakProduction,Compressor Component Leak,COMPONENT LEAK,FUGITIVE
Compressor.json,Emitter,PneumaticEmitterProduction,Compressor Pneumatic Emissions,PNEUMATIC EMISSION,VENTED
Compressor.json,Emitter,MEETCombustionEmitter,Driver Exhaust,EXHAUST,COMBUSTION
Compressor.json,Emitter,SpecificLeaksProduction,Compressor Dry Seal Large Emitter,COMPONENT LEAK,FUGITIVE
Compressor.json,Emitter,EmpiricalFlowProduction,Compressor Dry Seal Vent (OP),VENT,VENTED
Compressor.json,Emitter,SpecificLeaksProduction,Compressor Rod Packing Large Emitter,COMPONENT LEAK,FUGITIVE
Compressor.json,Emitter,SpecificLeaksProduction,Compressor Rod Packing Vent (NOD),COMPONENT LEAK,FUGITIVE
Compressor.json,Emitter,SpecificLeaksProduction,Compressor Rod Packing Vent (NOP),COMPONENT LEAK,FUGITIVE
Compressor.json,Emitter,SpecificLeaksProduction,Compressor Rod Packing Vent (OP),VENT,VENTED
Compressor.json,Emitter,SpecificLeaksProduction,Compressor Wet Seal Large Emitter,COMPONENT LEAK,FUGITIVE
Compressor.json,Emitter,EmpiricalFlowProduction,Compressor Wet Seal Vent (OP),VENT,VENTED
Compressor.json,Emitter,SpecificLeaksProduction,Compresor Single-Unit Vent Large Emitter,COMPONENT LEAK,FUGITIVE
Compressor.json,Emitter,SpecificLeaksProduction,Compressor Single-Unit Vent Leak,COMPONENT LEAK,FUGITIVE
Compressor.json,Emitter,SpecificLeaksProduction,Leak On Compressor Starter Vent,COMPONENT LEAK,FUGITIVE
Compressor.json,Emitter,ImmediateStateBasedEmitterProduction,Start Event,TRANSIENT EVENT,VENTED
ContinuousPneumatics.json,MajorEquipment,MEETContinuousPneumatics,Pneumatic Controller,,
ContinuousPneumatics.json,Emitter,StateBasedEmitterProduction,Continuous Pneumatic Emissions,EMISSION,VENTED
ContinuousPneumatics.json,Emitter,StateBasedEmitterProduction,Continuous Abnormal Pneumatic Emissions,EMISSION,VENTED
ContinuousSeparator.json,MajorEquipment,MEETContinuousSeparator2,Continuous Separator,,
ContinuousSeparator.json,Emitter,LeakProduction,Separator Component Leak,COMPONENT LEAK,FUGITIVE
ContinuousSeparator.json,Emitter,PneumaticEmitterProduction,Separator Pneumatic Emissions,PNEUMATIC EMISSION,VENTED
CycledWell.json,MajorEquipment,MEETWellCycledProduction,Wellhead with cycled production,,
CycledWell.json,Emitter,StateBasedEmitterProduction,Completion,COMPLETION,VENTED
CycledWell.json,Emitter,LeakProduction,Wellhead Component Leak,COMPONENT LEAK,FUGITIVE
CycledWell.json,Emitter,PneumaticEmitterProduction,Wellhead Pneumatic Emissions,PNEUMATIC EMISSION,VENTED
Dehydrator.json,MajorEquipment,MEETLeakContainer,Glycol Dehydrator,,
Dehydrator.json,Emitter,LeakProduction,Dehydrator Component Leaks,COMPONENT LEAK,FUGITIVE
Dehydrator.json,Emitter,EmpiricalFlowProduction,Dehydrator Still Vent,VENT,VENTED
Dehydrator.json,Emitter,PneumaticEmitterProduction,Dehydrator Pneumatic Emissions,PNEUMATIC EMISSION,VENTED
DumpingSeparator.json,MajorEquipment,MEETDumpingSeparator,Dumping Separator,,
